Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,29.980000,34.750000,29.620001,34.450001,34.450001,25170800
2019-06-24,34.500000,34.840000,32.150002,33.220001,33.220001,16848000
2019-07-01,33.900002,35.959999,33.689999,35.709999,35.709999,10254700
2019-07-08,35.480000,37.000000,33.990002,35.169998,35.169998,12889500
2019-07-15,35.250000,35.700001,33.814999,34.650002,34.650002,9191200
2019-07-22,34.770000,37.689999,34.400002,37.389999,37.389999,14307800
2019-07-29,37.990002,38.000000,34.349998,37.709999,37.709999,16632300
2019-08-05,35.110001,36.180000,33.000000,34.689999,34.689999,17609400
2019-08-12,34.650002,35.750000,32.630001,35.419998,35.419998,15380800
2019-08-19,36.450001,36.900002,30.730000,30.870001,30.870001,40335500
2019-08-26,31.049999,32.970001,30.440001,32.119999,32.119999,13724500
2019-09-02,31.950001,32.639999,29.920000,31.610001,31.610001,18480000
2019-09-09,31.580000,33.080002,29.330000,31.030001,31.030001,19639800
2019-09-16,30.889999,32.599998,30.370001,32.270000,32.270000,8421300
2019-09-23,32.270000,32.930000,29.924999,30.420000,30.420000,17299100
2019-09-30,31.209999,31.555000,29.860001,31.000000,31.000000,13731700
2019-10-07,30.950001,31.340000,27.129999,27.920000,27.920000,28154200
2019-10-14,28.299999,28.780001,26.719999,26.980000,26.980000,16215600
2019-10-21,26.980000,28.629999,26.410000,28.500000,28.500000,18162800
2019-10-28,28.730000,30.150000,28.520000,29.900000,29.900000,10916700
2019-11-04,30.000000,31.719999,29.940001,31.700001,31.700001,21552600
2019-11-11,31.160000,37.470001,30.500000,36.380001,36.380001,49923600
2019-11-18,36.549999,38.980000,36.020000,37.270000,37.270000,16976400
2019-11-25,37.360001,38.090000,36.810001,37.040001,37.040001,15931700
2019-12-02,37.080002,38.970001,35.299999,37.810001,37.810001,19016700
2019-12-09,37.939999,38.000000,36.009998,36.799999,36.799999,19879500
2019-12-16,37.000000,39.200001,36.799999,39.009998,39.009998,25605500
2019-12-23,38.720001,39.590000,38.520000,39.299999,39.299999,6816900
2019-12-30,39.860001,41.189999,38.340000,40.490002,40.490002,17678100
2020-01-06,40.070000,41.799999,39.340000,39.580002,39.580002,17688200
2020-01-13,39.709999,41.340000,39.150002,41.279999,41.279999,12974400
2020-01-20,41.009998,46.500000,40.330002,45.330002,45.330002,24655100
2020-01-27,42.599998,46.290001,42.599998,45.240002,45.240002,11012400
2020-02-03,45.369999,47.509998,44.845001,46.200001,46.200001,17236900
2020-02-10,46.060001,49.330002,44.950001,48.490002,48.490002,19315300
2020-02-17,49.270000,52.509998,48.799999,51.849998,51.849998,24818300
2020-02-24,48.680000,49.790001,43.310001,45.060001,45.060001,32259200
2020-03-02,46.209999,52.770000,45.150002,50.349998,50.349998,33913300
2020-03-09,45.990002,50.770000,41.470001,44.509998,44.509998,34301300
2020-03-16,38.500000,45.000000,36.279999,38.000000,38.000000,32962900
2020-03-23,38.099998,46.480000,35.610001,43.930000,43.930000,25405100
2020-03-30,44.000000,45.110001,40.410000,42.099998,42.099998,17754800
2020-04-06,43.970001,47.900002,43.720001,45.070000,45.070000,12968500
2020-04-13,44.740002,55.250000,44.459999,53.020000,53.020000,20643300
2020-04-20,52.459999,55.099998,50.349998,54.389999,54.389999,14419600
2020-04-27,55.459999,56.799999,52.770000,54.779999,54.779999,14928200
2020-05-04,53.849998,63.299999,53.849998,62.490002,62.490002,25441700
2020-05-11,61.869999,64.389999,59.261002,61.959999,61.959999,24423900
2020-05-18,66.000000,79.192001,65.430000,79.000000,79.000000,52266600
2020-05-25,81.074997,83.800003,73.930000,79.800003,79.800003,30019400
2020-06-01,80.080002,89.940002,80.080002,89.699997,89.699997,26724700
2020-06-08,90.000000,94.519997,86.599998,92.980003,92.980003,26896900
2020-06-15,91.279999,110.129997,90.629997,106.940002,106.940002,32500600
2020-06-22,107.809998,116.000000,100.660004,105.199997,105.199997,34600300
2020-06-29,104.980003,119.230003,101.612000,117.620003,117.620003,15397600
2020-07-06,122.500000,129.720001,111.339996,121.000000,121.000000,25695800
2020-07-13,123.169998,125.290001,106.010002,109.040001,109.040001,18266300
2020-07-20,111.900002,120.449997,101.699997,107.120003,107.120003,13977000
2020-07-27,110.480003,125.839996,109.169998,122.199997,122.199997,16653100
2020-08-03,124.919998,146.990005,124.500000,129.000000,129.000000,23151300
2020-08-10,132.660004,135.520004,118.080002,126.500000,126.500000,21098600
2020-08-17,128.919998,154.279999,127.230003,147.419998,147.419998,31992600
2020-08-24,149.789993,163.139999,144.259995,152.669998,152.669998,19791100
